gene symbol,p_val_adj,avg_logFC,cell type
PTPRO,0,3.497636,Podocyte
MAGI2,0,3.22543,Podocyte
PTPRQ,0,3.196571,Podocyte
PLA2R1,0,3.021037,Podocyte
NPHS2,0,2.81991,Podocyte
CLIC5,0,2.764166,Podocyte
NTNG1,0,2.667294,Podocyte
NPHS1,0,2.5936,Podocyte
ST6GALNAC3,0,2.55647,Podocyte
PODXL,0,2.47866,Podocyte
CTGF,0,2.328997,Podocyte
PLCE1,0,2.206812,Podocyte
DPP6,0,2.140919,Podocyte
FGF1,0,2.06549,Podocyte
NPAS3,0,2.05826,Podocyte
ADAMTS19,0,2.054844,Podocyte
CTC-340A15.2,0,2.054008,Podocyte
FMN2,0,1.988359,Podocyte
CH17-437K3.1,0,1.952774,Podocyte
DACH1,0,1.936635,Podocyte
MAGI2-AS3,0,1.831505,Podocyte
TARID,0,1.800799,Podocyte
SPOCK1,0,1.798744,Podocyte
IQCJ-SCHIP1,0,1.789909,Podocyte
NPNT,0,1.770998,Podocyte
C14orf37,0,1.748071,Podocyte
NFASC,0,1.744857,Podocyte
SPOCK2,0,1.744706,Podocyte
SEMA5A,0,1.70444,Podocyte
RP11-550H2.2,0,1.704125,Podocyte
CDC14A,0,1.692649,Podocyte
NEBL,0,1.64386,Podocyte
ZNF804A,0,1.620233,Podocyte
VEGFA,0,1.614497,Podocyte
ATP10A,0,1.594279,Podocyte
ABLIM2,0,1.593289,Podocyte
NES,0,1.569085,Podocyte
ALS2CL,0,1.562175,Podocyte
MME,0,1.561835,Podocyte
RYR3,0,1.536966,Podocyte
ARHGAP28,0,1.515505,Podocyte
HTRA1,0,1.507744,Podocyte
UNC5C,0,1.486859,Podocyte
SULF1,0,1.465112,Podocyte
ARHGEF26,0,1.448589,Podocyte
CR1,0,1.417562,Podocyte
TGFBR3,0,1.403255,Podocyte
DACH2,0,1.391268,Podocyte
SRGAP2,0,1.368796,Podocyte
PCOLCE2,0,1.338643,Podocyte
FYN,0,1.309994,Podocyte
WIPF3,0,1.219478,Podocyte
SRGAP2C,0,1.149779,Podocyte
ENPEP,5.16E-302,1.389288,Podocyte
LRRC2,9.41E-289,1.245741,Podocyte
CDKN1C,1.32E-283,1.582295,Podocyte
