gene symbol,p_val_adj,avg_logFC,cell type
TYROBP,0,2.289394,Monocyte
CD74,0,1.485665,Monocyte
MSR1,0,1.600252,Monocyte
FTL,0,2.28669,Monocyte
LYZ,0,1.90442,Monocyte
CTSZ,0,1.734417,Monocyte
TNFSF13B,0,1.294661,Monocyte
MS4A6A,0,1.743218,Monocyte
MS4A4A,0,1.384767,Monocyte
CD68,0,1.262607,Monocyte
APOE,0,2.382379,Monocyte
APOC1,0,2.860739,Monocyte
CXCL9,0,1.94179,Monocyte
FCER1G,0,2.21954,Monocyte
C1QC,0,2.023119,Monocyte
LAPTM5,0,1.626145,Monocyte
CTSS,0,1.828044,Monocyte
CTSB,0,2.121371,Monocyte
CYBB,0,1.343251,Monocyte
MS4A7,0,1.240673,Monocyte
CD14,0,1.561291,Monocyte
C1QB,0,2.846317,Monocyte
C1QA,0,2.722366,Monocyte
CD163,0,1.67132,Monocyte
FPR3,0,1.306598,Monocyte
FAM26F,0,1.347782,Monocyte
FCGR3A,0,1.566189,Monocyte
HLA-DRA,0,1.827498,Monocyte
AIF1,0,1.589543,Monocyte
HLA-DPB1,0,1.418078,Monocyte
HLA-DPA1,9.57E-303,1.436104,Monocyte
PSAP,2.08E-301,1.57339,Monocyte
CFD,3.02E-300,1.336674,Monocyte
LGMN,2.55E-299,1.892486,Monocyte
VSIG4,3.27E-296,0.962796,Monocyte
LST1,5.09E-286,1.235617,Monocyte
LIPA,3.85E-281,1.543765,Monocyte
PLEK,4.75E-281,1.305475,Monocyte
SRGN,2.59E-270,1.35485,Monocyte
CLEC7A,6.68E-270,1.064093,Monocyte
HMOX1,9.68E-270,1.684773,Monocyte
C1orf162,9.81E-269,1.131017,Monocyte
CXCL10,3.94E-267,2.145302,Monocyte
IGSF6,7.95E-267,1.061779,Monocyte
NPC2,2.22E-265,1.232095,Monocyte
GLUL,6.61E-265,1.513068,Monocyte
LY96,2.74E-257,1.275596,Monocyte
RP11-1143G9.4,4.98E-256,1.394668,Monocyte
CD53,3.03E-248,1.061079,Monocyte
B2M,2.34E-247,0.861331,Monocyte
CCL3,2.00E-242,1.594276,Monocyte
CCR1,8.47E-242,0.861659,Monocyte
FYB,4.49E-237,1.209667,Monocyte
RNASE1,1.90E-236,1.700391,Monocyte
FCGR1A,1.07E-235,0.824361,Monocyte
SAT1,1.17E-234,1.025662,Monocyte
GPX1,3.30E-233,1.231959,Monocyte
FCGR2A,4.61E-231,0.998473,Monocyte
LCP1,1.77E-228,1.076409,Monocyte
