gene symbol,p_val_adj,avg_logFC,cell type
A1BG,1.30E-17,0.488977378,Podocyte
A2M,1.26E-50,0.403788725,Monocyte
A2M,1.77E-128,1.419439529,Mesangial cell
A2M,3.91E-288,1.596305116,Glomerular endothelial
A2M,1.35E-220,1.536989673,Descending vasa recta
A2M,6.24E-128,1.456257868,Ascending vasa recta
A2M,1.77E-128,1.419439529,Vascular smooth muscle cells / pericytes
AAK1,9.84E-76,0.762715999,Principal cells
AAK1,2.16E-15,0.257947768,T cells
AAMDC,9.53E-18,0.270107266,Connecting tubule
AAMDC,9.53E-18,0.270107266,Distal tubule
ABCA5,3.95E-251,0.916720185,Intercalated cells
ABCA5,3.74E-21,0.349378556,Connecting tubule
ABCA5,3.74E-21,0.349378556,Distal tubule
ABCA6,0,1.556869033,Interstitium / Fibroblasts
ABCA8,0,2.069837672,Interstitium / Fibroblasts
ABCA9,3.07E-258,0.751059925,Interstitium / Fibroblasts
ABCB1,2.74E-100,0.55034891,Principal cells
ABCD4,0.060202438,0.268622815,Interstitium / Fibroblasts
ABHD11,1.02E-56,0.504123878,Thin ascending loop of Henle
ABHD14A,1,0.304138777,Interstitium / Fibroblasts
ABHD14B,1.21E-16,0.40067917,Proximal tubule
ABHD2,1.34E-98,0.488061076,Intercalated cells
ABI3,3.59E-171,0.908709963,Macrophage
ABI3,6.62E-76,0.497394292,Monocyte
ABI3BP,0,1.856428098,Descending vasa recta
ABLIM1,3.61E-43,0.749520154,Thick ascending loop of Henle
ABLIM1,3.57E-34,0.46668629,Thin ascending loop of Henle
ABLIM1,2.22E-05,0.551388791,Interstitium / Fibroblasts
ABRACL,4.18E-21,0.345993305,Proximal tubule
ABRACL,9.28E-67,0.771079225,Macrophage
ABRACL,4.98E-82,0.52161869,T cells
AC006159.3,0,1.17714611,Proximal tubule
AC007246.3,3.48E-66,0.371002607,Intercalated cells
AC009014.3,0,0.950866938,Proximal tubule
AC011526.1,0,1.803763269,Glomerular endothelial
AC011526.1,3.20E-203,1.389589016,Descending vasa recta
AC011526.1,1.07E-151,1.491224383,Ascending vasa recta
AC073218.2,2.91E-224,1.829059497,Descending loop of Henle
AC073218.2,6.04E-52,0.719553245,Thick ascending loop of Henle
AC073218.2,0,1.801328128,Thin ascending loop of Henle
AC084018.1,1.97E-18,0.670777312,Podocyte
AC092580.4,0,1.216084956,T cells
AC093326.1,0,0.914389721,Proximal tubule
AC124944.5,0,0.802338956,Principal cells
ACAA1,0,1.558140709,Proximal tubule
ACAA2,6.00E-232,1.117372452,Proximal tubule
ACADM,0,1.352214274,Proximal tubule
ACADS,1.08E-41,0.259855209,Intercalated cells
ACADVL,6.09E-92,0.802313683,Principal cells
ACADVL,2.74E-20,0.251798028,Intercalated cells
ACADVL,1.33E-14,0.557027325,Thick ascending loop of Henle
ACADVL,1.79E-38,0.52861888,Connecting tubule
